"Location","Freq","lng","lat","radius"
"Broadway",201980,-73.9255789,40.7617758,449.421850826148
"3rd Ave",148186,-73.9830681,40.7389372,384.94934731728
"5th Ave",97622,-73.9342729,40.8174708,312.445195194293
"Madison Ave",92179,-73.969627,40.7660335,303.609947136124
"Lexington Ave",79125,-73.9603164,40.7730129,281.291663580704
"1st Ave",69512,-73.9401347,40.7895303,263.651284844205
"2nd Ave",67751,-73.9938908,40.6719924,260.290222636195
"Queens Blvd",60770,-73.9177213,40.7432249,246.515719579908
"7th Ave",59656,-73.9820256,40.7630704,244.245777855012
"8th Ave",56147,-73.9856481,40.7629156,236.953581952247
"Amsterdam Ave",55472,-73.9821175,40.7779222,235.524945600248
"6th Ave",50853,-74.0008455,40.7318551,225.506097478538
"Jamaica Ave",48552,-73.7665445,40.7133043,220.345183745867
"Park Ave",47675,-73.9805026,40.7484151,218.34605560898
"Columbus Ave",40221,-73.9793229,40.776739,200.551738960299
"37th Ave",36225,-73.9179971,40.7506444,190.328663106743
"Coney Island Ave",35776,-73.960789,40.593014,189.14544668059
"HORACE HARDING EXPWY",33948,-73.7249093,40.7645186,184.249830393409
"Roosevelt Ave",33250,-73.8332175,40.7585475,182.345825288105
"White Plains Rd",31732,-73.8663349,40.8771761,178.134780433244
"Nostrand Ave",31181,-73.949556,40.6803935,176.5814259768
"Myrtle Ave",29003,-73.9352775,40.6969959,170.302671734768
"9th Ave",28959,-74.0027323,40.7446399,170.173440936005
"Main St",27859,-73.8314394,40.762159,166.910155472937
"Atlantic Ave",27643,-73.8949322,40.6759984,166.261841683532
"Northern Blvd",25729,-73.9062074,40.7530794,160.402618432493
"Flatbush Ave",25560,-73.9088164,40.5974264,159.874951133691
"Steinway St",24335,-73.9201758,40.7575068,155.996794838868
"Court St",24172,-73.9917825,40.6940745,155.473470405725
"Fulton St",23551,-74.0078096,40.7102369,153.463350673703
"St Nicholas Ave",23462,-73.952807,40.80587,153.17310468878
"W 39th St",23362,-73.992002,40.7556902,152.846328055338
"E Tremont Ave",23343,-73.9059612,40.8495271,152.784161482792
"W 58th St",23267,-73.9736008,40.7637196,152.535241829552
"BROADWAY",22669,-73.9255789,40.7617758,150.562279472649
"13th Ave",22626,-74.008637,40.619143,150.41941364066
"W 38th St",22376,-73.988787,40.753517,149.586095610521
"Grand Concourse",22359,-73.885364,40.8772429,149.529261350413
"Jerome Ave",21786,-73.887736,40.877034,147.600813005891
"W 35th St",21416,-74.0001711,40.5722429,146.342065039414
"Westchester Ave",21143,-73.9159846,40.8164868,145.406327235097
"W 48th St",21122,-73.9794547,40.757852,145.334097857316
"W 45th St",20667,-73.988494,40.7592052,143.760217028217
"W 46th St",20659,-73.9812777,40.7569769,143.732390225725
"W 37th St",20658,-74.0025693,40.5733798,143.728911496609
"Austin St",20476,-73.8281914,40.7080116,143.094374452667
"W 47th St",20341,-73.9847647,40.7592666,142.62187770465
"Manhattan Ave",19897,-73.9573209,40.8043633,141.056726177804
"Liberty Ave",19891,-73.8965126,40.6744049,141.035456534873
"10th Ave",19864,-73.9188694,40.8644347,140.939703419583
"W 56th St",19805,-73.9833766,40.7660319,140.730238399571
"W 43rd St",19511,-73.9891695,40.757858,139.681781202847
"York Ave",19502,-73.9578475,40.7612647,139.64956140282
"E 58th St",19302,-73.9212911,40.6389025,138.931637865534
"E 54th St",18783,-73.926326,40.65035,137.051085366005
"Hillside Ave",18282,-73.7948017,40.7099913,135.210946302435
"W 36th St",18258,-74.0014288,40.5731491,135.122166945324
"Greenwich St",17733,-74.012934,40.7094844,133.165310798271
"86th St",17311,-74.0282979,40.622811,131.571273460433
"Church Ave",17203,-73.9635215,40.6492649,131.160207380135
"Avenue U",17045,-73.9298072,40.6051124,130.556501178608
"W 14th St",16852,-73.9960774,40.7370431,129.815253341046
"Metropolitan Ave",16725,-73.9386858,40.7145903,129.325171563776
"W 49th St",16119,-73.9790527,40.7584986,126.960623816993
"Kings Hwy",16091,-73.9212985,40.6565574,126.850305478544
"31st St",15928,-73.9297973,40.7565241,126.206180514268
"30th Ave",15667,-73.9215824,40.7666967,125.167887255478
"E 13th St",15413,-73.9884737,40.7329383,124.149103903331
"W 55th St",15305,-73.9838267,40.7654145,123.713378419636
"W 44th St",14916,-73.9888431,40.758532,122.131077126176
"18th Ave",14785,-73.9769395,40.6296217,121.593585357123
"E 56th St",14664,-73.925152,40.6570876,121.095004025765
"E 14th St",14563,-73.9900281,40.7345017,120.677255520666
"W 51st St",14544,-73.9828071,40.7617189,120.598507453451
"89th Ave",14485,-73.7587824,40.7193858,120.353645561736
"W 33rd St",14349,-73.9991284,40.5726989,119.787311515035
"Grand St",14289,-73.9937839,40.7181616,119.536605272193
"W 52nd St",14137,-73.9764169,40.7598407,118.899116901683
"E 45th St",13972,-73.935416,40.653505,118.203214846298
"W 40th St",13914,-74.0019727,40.7606802,117.957619508025
"E 59th St",13574,-73.9624293,40.7598198,116.507510487522
"E 86th St",13305,-73.960234,40.781469,115.347301658946
"E 12th St",13282,-73.9882889,40.7320224,115.247559627091
"W 50th St",13238,-73.9818069,40.7604917,115.056507855923
"E 49th St",13220,-73.929362,40.632788,114.978258814438
"Mott St",13141,-73.9964811,40.7190494,114.634200830293
"W 72nd St",13098,-73.9759585,40.7762171,114.446494048529
"E 60th St",13005,-73.9712472,40.764344,114.039466852489
"E 41st St",12942,-73.933522,40.623183,113.762911355151
"Webster Ave",12825,-73.9008243,40.8478532,113.247516529061
"Bedford Ave",12785,-73.9577249,40.7178272,113.070774296456
"39th Ave",12702,-73.9329357,40.7526866,112.703149911615
"4th Ave",12615,-73.9885174,40.7371225,112.316517040015
"Pearl St",12589,-73.6415321,43.3123228,112.200713010212
"W 41st St",12545,-73.9945376,40.7584117,112.004464196745
"Riverside Dr",12412,-73.9282478,40.8656646,111.409155817644
"41st Ave",12391,-73.896874,40.744461,111.314868728306
"82nd St",12033,-73.8877136,40.7665995,109.695031792693
"Livingston St",11969,-73.650311,42.783233,109.402925006601
"Washington St",11890,-79.0532195,43.1235358,109.041276588272
"W 16th St",11884,-73.9846296,40.5815396,109.013760599293
"E 52nd St",11761,-73.928827,40.655456,108.448144290255
"38th St",11755,-73.927441,40.7421227,108.420477770576
"E 50th St",11604,-73.9769016,40.7584119,107.721864075962
"W 57th St",11569,-73.9757044,40.7636969,107.559285977548
"3RD AVE",11554,-73.9830681,40.7389372,107.489534374282
"Orchard St",11297,-73.441274,40.714787,106.287346377638
"Clinton St",11295,-73.7901398,43.0980513,106.27793750351
"W 26th St",11238,-73.9883097,40.7434999,106.009433542492
"W 125th St",11169,-73.9437782,40.8070562,105.683489722851
"Front St",11127,-74.0036122,40.7067802,105.484596031838
"E 55th St",11091,-73.925392,40.650407,105.313816757347
"Henry St",10957,-73.5781735,40.6538081,104.675689632311
"W 54th St",10680,-73.9815692,40.7636543,103.34408546211
"W 28th St",10634,-73.9939096,40.5734658,103.121287811974
"New Utrecht Ave",10599,-73.994273,40.642711,102.951444866014
"E 43rd St",10544,-73.9802731,40.754104,102.683981223947
"W 23rd St",10541,-73.9900799,40.5760557,102.669372258722
"W 27th St",10534,-73.9933895,40.5764243,102.635276586562
"E 47th St",10491,-73.9737345,40.7546125,102.425582741813
"Kissena Blvd",10483,-73.8151332,40.7399594,102.386522550578
"Union Tpke",10464,-73.8072051,40.7204611,102.293694820355
"E 53rd St",10457,-73.924469,40.623743,102.259473888731
"Montague St",10353,-73.994301,40.6948001,101.749692874229
"E 10th St",10286,-73.9902382,40.731233,101.419919148065
"E 18th St",10262,-73.9886291,40.7371699,101.301530097033
"E 39th St",10235,-73.941327,40.654681,101.168176814649
"164th St",10179,-73.8042699,40.7437756,100.891030324801
"E 23rd St",10173,-73.9439695,40.5838183,100.861290890014
"Cross Bay Blvd",9985,-73.8412311,40.6650104,99.9249718538864
"Ocean Pky",9913,-73.9738491,40.6506405,99.5640497368403
