"Location","Freq","lng","lat","radius"
"Broadway",210685,-73.9255789,40.7617758,459.004357277793
"3rd Ave",164972,-73.9830681,40.7389372,406.167453152022
"5th Ave",106911,-73.9342729,40.8174708,326.972475905847
"Madison Ave",98692,-73.969627,40.7660335,314.152829049811
"Lexington Ave",82264,-73.9603164,40.7730129,286.817014836986
"2nd Ave",79658,-73.9938908,40.6719924,282.237488650959
"1st Ave",68218,-73.9401347,40.7895303,261.185757651523
"7th Ave",64657,-73.9820256,40.7630704,254.277407568978
"Amsterdam Ave",60173,-73.9821175,40.7779222,245.301854864573
"Queens Blvd",57430,-73.9177213,40.7432249,239.6455716261
"8th Ave",56903,-73.9856481,40.7629156,238.543497081769
"6th Ave",55129,-74.0008455,40.7318551,234.795655837156
"Jamaica Ave",44856,-73.7665445,40.7133043,211.792351136673
"Columbus Ave",41568,-73.9793229,40.776739,203.882318997995
"Coney Island Ave",39497,-73.960789,40.593014,198.738521681128
"Park Ave",39032,-73.9805026,40.7484151,197.565179118184
"37th Ave",38826,-73.9179971,40.7506444,197.043142484076
"Roosevelt Ave",37192,-73.8332175,40.7585475,192.852275070843
"White Plains Rd",33858,-73.8663349,40.8771761,184.005434702348
"EB HILLSIDE AVE @ MA",32839,-73.8902478,40.5668504,181.215341513902
"NB OCEAN PKWY @ AVE",32284,-73.9649182,40.5948856,179.677488851553
"Nostrand Ave",31182,-73.949556,40.6803935,176.584257508986
"NB CONEY ISLAND AVE",30314,-73.9709755,40.6468296,174.109161160463
"Main St",30125,-73.8314394,40.762159,173.565549577098
"9th Ave",29712,-74.0027323,40.7446399,172.371691411322
"Jerome Ave",29605,-73.887736,40.877034,172.061035682109
"Fulton St",28641,-74.0078096,40.7102369,169.23652088128
"HORACE HARDING EXPWY",28637,-73.7249093,40.7645186,169.224702688467
"Atlantic Ave",27331,-73.8949322,40.6759984,165.320900070136
"Flatbush Ave",27215,-73.9088164,40.5974264,164.969694186538
"St Nicholas Ave",25932,-73.952807,40.80587,161.034157867205
"Myrtle Ave",25464,-73.9352775,40.6969959,159.57443404255
"Steinway St",24427,-73.9201758,40.7575068,156.291394516781
"Northern Blvd",24193,-73.9062074,40.7530794,155.540991381693
"E Tremont Ave",23150,-73.9059612,40.8495271,152.151240547029
"13th Ave",22952,-74.008637,40.619143,151.499174915245
"Westchester Ave",22572,-73.9159846,40.8164868,150.239808306587
"Grand Concourse",22039,-73.885364,40.8772429,148.455380502022
"Court St",21119,-73.9917825,40.6940745,145.323776444187
"W 43rd St",20938,-73.9891695,40.757858,144.699689011414
"York Ave",20772,-73.9578475,40.7612647,144.124945793572
"W 39th St",19585,-73.992002,40.7556902,139.946418317869
"Church Ave",19119,-73.9635215,40.6492649,138.271472111929
"BROADWAY",19107,-73.9255789,40.7617758,138.228072402099
"W 35th St",19096,-74.0001711,40.5722429,138.188277360998
"86th St",18822,-74.0282979,40.622811,137.193294296769
"NB RIVERDALE AVE @ W",18525,-73.8885622,40.6639776,136.106575888162
"Liberty Ave",18498,-73.8965126,40.6744049,136.007352742416
