"Plate_Type","Freq"
"PAS",7718606
"COM",2022409
"OMT",374107
"OMS",87533
"SRF",83912
"999",57923
"IRP",57811
"TRC",28158
"MOT",27968
"APP",21586
"OMR",20342
"ORG",17262
"OML",13961
"CMB",13777
"MED",12498
"PSD",8977
"SPO",8242
"SCL",6606
"TOW",6242
"RGL",5241
"VAS",4242
"DLR",4044
"TRA",3521
"ITP",3279
"SRN",3033
"TRL",2770
"CMH",2374
"CSP",1404
"MCL",1186
"PHS",906
"HIS",813
"CBS",691
"SEM",546
"STA",526
"CHC",411
"ORC",372
"OMF",364
"CME",329
"AGR",310
"SPC",301
"THC",227
"RGC",181
"HAM",158
"AYG",157
"SOS",116
"OMV",113
"AMB",106
"AGC",100
"LMA",90
"NLM",79
"NYA",77
"LTR",76
"ORM",76
"BOB",74
"MCD",69
"ARG",68
"STG",68
"NYC",52
"LMB",45
"SUP",38
"VPL",34
"LUA",27
"NYS",26
"USC",25
"CCK",24
"FPW",24
"FAR",23
"OMO",23
"ATD",22
"BOT",20
"LMC",15
"HIR",13
"PPH",11
"JCA",10
"ATV",9
"GSM",6
"HAC",6
"CLG",5
"GAC",5
"HSM",4
"JSC",4
"WUG",4
"USS",3
"JCL",2
"HOU",1
