"Vehicle.Make","Freq"
"FORD",1280958
"TOYOT",1211451
"HONDA",1079238
"NISSA",918590
"CHEVR",714655
"FRUEH",429158
"ME/BE",389051
"BMW",374929
"DODGE",372127
"JEEP",348145
"HYUND",297065
"GMC",255112
"LEXUS",245906
"INTER",243763
"ACURA",200146
"CHRYS",177227
"VOLKS",176559
"INFIN",175104
"SUBAR",140760
"AUDI",135732
"ISUZU",121857
"KIA",108974
"MAZDA",107809
"NS/OT",107291
"MITSU",99911
"LINCO",95774
"CADIL",85863
"VOLVO",78174
"",73047
"ROVER",70080
"MERCU",67074
"HIN",62793
"HINO",49229
"KENWO",44445
"WORKH",43654
"BUICK",39172
"PETER",33531
"MINI",26035
"MACK",24437
"PORSC",24419
"SMART",23508
"PONTI",20460
"SATUR",19394
"JAGUA",13984
"FIAT",13605
"UD",12145
"SUZUK",10264
"SAAB",10091
"MI/F",7948
"UTILI",6152
"WORK",6031
"SCION",5524
"VANHO",5468
"VESPA",5188
"OLDSM",5182
"STERL",5179
"UTIL",4833
"MASSA",4814
"HUMME",4115
"KAWAS",4030
"YAMAH",4007
"HARLE",3818
"TESLA",3519
"PLYMO",3485
"MCI",3270
"UPS",2713
"TRIUM",1815
"THOMA",1747
"BENTL",1741
"MASE",1700
"FONTA",1617
"PREVO",1616
"SPRI",1428
"FERRA",1403
"KW",1373
"NAVIS",1359
"IC",1342
"TRAIL",1329
"GEO",1324
"DUCAT",1266
"HYUN",1162
"GREAT",1054
"VPG",939
"CHECK",919
"STARC",818
"KENTU",797
"STAR",574
"WO/C",535
"MER",532
"DORSE",526
"FRIE",514
"WHITE",513
"LND",489
"FR/LI",479
"SMITH",410
"CARGO",390
"EASTO",390
"BL/B",367
"UNIFL",359
"JENSE",357
"HUMBE",355
"EAST",352
"ROLLS",344
"FUSO",336
"SOLEC",319
"GRUMM",318
"BL/BI",309
"ANCIA",301
"FRH",296
"FRE",284
"FRLN",280
"UT/M",276
"DIAMO",275
"LA RO",270
"PET",261
"GIDNY",257
"UNIV",255
"PIAGG",253
"ALFAR",234
"AUTOC",234
"DAEWO",229
"WO/H",229
"TESL",227
"AUSTI",226
"BERTO",225
"FRGHT",223
"FR/L",212
"FHTL",206
"AMC",198
"WABAS",194
"SUNBE",191
"LAMBO",180
"MICKE",171
"FRIEG",170
"MG",168
"TRL",163
"FRT",157
"ORION",157
"KENW",153
"CHER",151
"PREV",147
"FREG",146
"FR",143
"STRIC",142
"FRD",138
"COLLI",133
"FRTL",128
"WH",127
"LOTUS",125
"TRUCK",119
"F/L",117
