1873,718,213,156,747,513,207,185,2009,785,122,195,584,483,443,72,1714,1047,234,83,633,423,292,193,1617,994,219,87,546,513,298,178,2043,854,332,106,654,544,292,195,1833,1554,542,220,164,62,507,497,391,312,83,420,1737,621,266,353,533,560,247,353,1845,616,237,68,412,592,525,234,150,1901,1024,247,152,568,479,257,153,1777,424,186,539,412,185,1682,1503,244,128,401,522,243,168,1519,931,125,211,518,302,147,1424,2000,640,188,382,523,450,101,1547,795,125,412,202,1673,1023,317,73,496,669,290,97,1498,1180,354,70,248,601,293,374,116,1605,980,429,115,639,650,259,126,1613,1039,471,161,128,519,440,563,95,160,1849,812,354,166,388,593,394,194,1683,920,408,194,205,393,449,428,78,372,2038,350,342,144,568,752,119,415,1821,393,283,197,159,381,631,403,85,258,0
2203,656,136,92,514,279,132,118,2448,624,80,117,400,227,275,61,1841,868,143,92,469,306,242,122,1835,975,161,63,465,317,251,84,2371,745,236,66,494,314,288,136,2212,1605,389,143,98,36,496,402,245,324,105,407,2054,446,152,237,426,360,203,458,2335,454,156,67,243,451,367,162,95,2278,933,147,129,452,302,199,107,1901,359,134,432,215,171,1677,1508,180,85,318,351,201,122,1665,912,117,152,361,215,129,1537,2134,437,198,189,422,320,77,1707,583,128,314,186,1828,1009,233,62,342,420,255,99,1839,1016,272,77,195,375,196,301,95,1934,899,290,101,370,424,245,83,1826,1186,305,151,95,371,286,417,90,121,1818,845,314,155,236,416,314,166,1739,927,326,160,140,304,258,367,97,282,2290,249,253,105,358,468,113,324,2105,401,249,126,118,296,377,395,87,208,0
1968,476,134,164,581,309,132,128,2250,495,94,136,427,175,247,60,1691,699,169,104,507,382,187,131,1671,876,140,67,436,268,278,134,2025,588,239,94,521,301,331,148,2031,1342,285,298,97,48,556,363,175,324,170,392,1609,350,164,270,404,343,259,434,1712,354,239,112,306,286,335,223,173,1804,743,180,106,386,220,146,107,1559,301,148,336,191,104,1318,1275,186,134,341,302,196,153,1299,694,91,159,284,197,170,1290,1689,373,212,269,452,344,77,1310,555,154,406,165,1474,749,302,71,482,335,258,163,1283,801,340,100,205,387,242,282,128,1679,791,382,104,357,401,274,127,1452,900,283,220,139,455,236,457,75,186,1474,655,261,97,194,368,184,156,1399,784,236,186,136,382,196,338,34,297,1762,190,249,113,339,415,81,266,1698,293,267,165,99,351,311,327,92,235,0
1360,434,133,112,650,254,127,81,1378,390,103,98,528,210,304,9,1017,662,111,92,504,296,199,79,1074,618,124,61,392,282,276,80,1301,460,243,49,473,258,222,79,1345,894,303,217,105,32,497,321,170,328,67,260,1115,355,159,217,402,298,181,294,1232,318,190,72,321,340,307,170,140,1296,588,131,107,401,253,128,103,1125,263,99,342,160,101,964,889,129,67,309,250,146,142,940,572,74,123,314,175,153,828,1105,337,137,205,397,277,96,893,352,117,335,127,997,537,224,62,367,329,174,117,917,604,260,84,199,402,198,261,75,1199,620,257,61,299,325,174,87,1023,754,279,148,89,377,200,396,55,130,1122,475,204,80,200,334,220,105,1091,553,201,131,126,320,216,258,39,261,1375,183,150,95,347,416,53,219,1228,336,182,149,113,280,357,313,68,138,0
808,397,43,35,124,17,12,8,918,324,41,30,109,16,23,2,659,437,40,17,158,65,32,26,646,411,41,19,115,44,61,23,775,422,18,12,94,18,56,23,684,556,255,30,14,20,63,58,1,47,50,120,701,222,16,21,15,29,35,143,714,201,10,3,19,19,26,15,28,786,442,3,0,22,19,10,4,729,170,4,20,15,8,660,658,40,5,31,21,24,13,622,388,13,20,17,19,21,539,602,253,7,15,54,30,16,563,224,3,27,22,502,414,28,17,56,7,18,37,512,467,42,7,30,9,25,29,32,605,452,40,11,47,23,37,14,532,434,127,9,8,45,2,48,11,16,640,403,43,12,36,41,8,7,631,413,123,8,23,31,8,11,2,51,828,175,26,42,25,39,2,52,799,203,154,12,31,24,14,29,5,20,0
528,460,338,256,299,320,250,263,646,444,249,246,427,124,367,329,514,507,271,259,351,352,280,189,527,556,253,262,352,204,353,224,543,464,321,299,349,315,337,236,485,458,395,260,274,229,299,223,211,380,247,339,531,378,269,304,146,303,248,209,615,350,234,274,328,140,298,342,249,625,567,165,241,209,221,267,179,566,294,245,233,262,171,512,589,309,252,328,202,330,89,517,495,187,338,217,259,250,462,462,462,260,235,210,286,131,469,352,248,199,283,445,513,326,281,352,200,288,264,379,539,336,229,345,132,281,309,264,490,398,443,238,421,300,501,145,551,375,427,305,222,299,177,489,314,229,499,388,621,266,432,328,396,305,566,378,764,303,331,292,183,450,436,276,652,312,584,468,270,453,321,318,582,289,723,268,429,249,196,482,374,442,0
699,877,1225,1021,857,1124,952,830,739,1048,1157,1288,1174,787,1451,1329,730,944,1157,1008,993,1055,882,692,758,1083,1053,1266,1038,865,1439,1166,589,974,1196,1083,930,815,1232,737,642,697,1057,1090,1270,940,929,785,825,1389,914,956,543,1057,1150,912,711,952,1057,648,792,1033,1001,1048,1102,635,880,1499,871,646,1090,944,1001,1061,752,1113,778,776,1081,1105,857,1006,1166,662,753,1265,1000,1182,744,1137,666,681,1138,1104,1196,830,1104,1195,834,621,1243,1370,997,944,1152,667,972,1298,1208,1148,1269,727,991,1259,1039,1216,824,1013,669,769,982,1463,922,1377,691,1005,1092,1045,593,711,1412,1009,1501,1098,1449,569,688,634,1504,1212,1059,1230,926,1360,1042,873,690,678,1488,1024,1539,931,1313,715,760,677,1350,1221,1043,1142,839,1446,1150,855,643,596,1393,1453,1251,1230,933,874,662,377,1393,980,1397,1178,739,1245,861,1174,0
2173,2172,3351,1872,1765,2628,3151,2670,2268,2713,2923,2464,2000,2034,2796,3727,1864,2067,2979,2048,2134,2244,2776,2802,2148,2040,2654,2434,1957,2144,3167,3020,1917,2373,2811,2026,2246,2249,3154,2677,2187,2108,2154,2919,2151,1884,2108,2195,1899,3089,4052,2664,2005,2109,2551,1931,1901,2438,3237,2382,2286,2143,2465,1894,2004,1964,2046,3242,3113,1858,2315,2404,2306,2243,2118,2965,2714,2293,2306,2424,1988,2201,3066,1639,1728,3050,2194,2533,2196,2884,2557,2069,2039,2896,2402,2219,2214,3195,2009,1387,2118,2756,2023,2275,2473,2575,1908,2181,2175,2168,2932,2060,2027,2832,2081,2405,2323,2917,2704,2107,2210,3125,1799,2674,1975,2160,2744,3314,1840,2432,2760,2145,2478,2286,2981,2497,1957,2416,2531,2578,2176,2334,2152,2470,3287,2769,1474,2479,2496,2056,2727,2219,2940,2517,1629,2786,2319,2293,2202,2181,1955,2725,3447,2476,1959,3132,2588,2690,2479,2395,2993,2587,1985,3814,2648,2192,2640,2263,1819,2979,3021,2673,9
4390,3166,5518,4702,5271,4988,4901,4571,4883,3614,5053,5167,4820,5439,5195,5111,4049,3213,4748,4158,4429,4250,4767,4469,4352,3619,4656,4583,4215,4559,5116,4778,3923,3467,4608,4482,4934,4494,5179,4310,4421,3552,3193,4813,4915,3997,4252,5368,4045,5008,5223,4505,3893,3083,4981,3987,4898,4749,4906,4376,4390,3464,4490,4327,4230,5296,4214,5274,4749,3668,3729,4944,4847,5471,4848,5131,4640,4259,4318,5449,5369,5023,5137,3873,3082,4700,4446,4834,4831,4924,4327,4195,3802,5302,5064,4935,4468,5039,3904,2885,2854,4279,3852,3899,3818,3868,3576,3360,3993,3742,4229,4166,3333,4834,5009,4783,4913,5359,4654,4333,3432,5165,4634,5043,4935,4426,5231,5022,3987,3759,4793,4701,4685,4862,5323,4472,4117,4064,4130,4769,4432,4376,4723,4602,5202,4493,3815,4021,4467,4741,5290,4991,5431,4752,3825,4475,3871,4695,4825,4674,4312,5410,5120,4629,4063,4521,4431,4863,5090,4735,5186,4745,3960,4828,4130,4497,4436,4651,4107,5123,4729,4709,40
4768,4160,5563,5515,5115,5751,5460,5466,4755,3569,5005,5686,4603,5586,5472,4916,4788,4104,5014,5610,4984,5664,5513,5891,4814,3797,4969,5244,4585,5326,5364,5299,4774,4089,5051,5688,5066,5529,5327,5577,4908,4723,3566,5201,6296,4951,4860,5872,5724,5409,5316,5901,4866,3676,5931,5027,5576,5867,5457,5593,4762,4022,4939,5389,4911,5913,5188,5740,5577,4297,4376,5589,5759,5830,5962,5615,5728,4595,4767,6255,5700,6170,5570,4839,3806,5220,5344,5076,5704,5312,4985,4752,4077,5764,5402,5291,5395,5194,4491,4109,3368,5190,4594,4708,4659,4749,4747,4017,4805,4494,4848,4598,4274,5344,6217,5185,5604,5866,5600,5054,3900,5597,5747,5725,5422,5258,5950,5817,4452,4313,4966,5494,4659,5444,5659,5360,4634,4663,4564,5379,5398,4755,5357,5317,5862,5535,4923,4599,5011,5792,5377,5795,5880,5844,5296,4963,4225,5511,5674,5488,5534,6317,5539,6253,4325,4975,4987,5101,5135,5050,5470,5690,4779,5263,4423,5328,5051,4913,4930,5697,5284,5960,68
