"V1","V2"
"",4904
"0  S/E ADAMS ST",2
"0 FT ALBANY CRES",2
"0E 102 ST",1
"1",3
"1 AV",43
"1 AV3",1
"1 AVE",1324
"1 AVE, NY, NY",1
"1 AVENUE",103
"1 ST",150
"1 ST AVE",224
"1 ST AVE3",1
"1 ST AVENUE",23
"1 STA VE",1
"1 STREET",15
"10  FROM S/W KEAP ST",1
"10  S/O E 48TH ST",2
"10  S/O SE C/O 50 ST",1
"10 AV",73
"10 AVE",791
"10 AVENUE",48
"10 C/O ALBION PL",1
"10 FEET SOUTH SHORE",1
"10 FROM 66",1
"10 FT S/O E 38TH ST",1
"10 FT SOUTH OF 21 AV",1
"10 FT W/ N/W C/O 116",1
"10 ST",161
"10 STREET",21
"100  BAY RIDGE AVE",1
"100  C/O MARION AVE",1
"100  E/O VERVEDEEN P",1
"100  N/O E 57TH ST",1
"100  N/O E 64TH ST",1
"100  N/O E 66TH ST",1
"100  NORTH OF W 136",1
"100  S/O OLD FULTON",1
"100  S/O RESERVOIR A",1
"100  W/O 127-02",1
"100  WEST YORK ST",1
"100 AVE",25
"100 FT E/O 5TH AVE",1
"100 FT NORTH OF 57ST",1
"100 S/O 37",1
"100 ST",468
"100 STREET",53
"100 WE ST C/O 28",1
"1000FT S/B E 233 RD",1
"100FT FRM N/E C/O 55",1
"100FT FROM N/E C/O",1
"100FT FROM N/EC/O",1
"100FT NORTH C/O",1
"100FT NORTH OF 58TH",1
"100FT S OF MAIDEN",1
"100FT W OF 127 ST",1
"100th St",1741
"101 AV",29
"101 AVE",435
"101 ST",224
"101 STREET",51
"101ST AVE",17
"101st Ave",5978
"101st St",1975
"102 AVE",63
"102 RD",14
"102 ST",373
"102 STREET",57
"102nd Ave",415
"102nd Rd",155
"102nd St",3281
"103 AV",3
"103 AVE",127
"103 RD",9
"103 ST",303
"103 STREET",60
"103rd Ave",706
"103rd St",4149
"104",5
"104 AVE",32
"104 ST",313
"104 STREET",56
"104TH STREET",6
"104th Ave",369
"104th St",3052
"105 ST",101
"105 STREET",36
"105th Ave",445
"105th St",1000
"106 AVE",38
"106 ST",114
"106th Ave",240
"106th St",1006
"107 AVE",146
"107 ST",151
"107 STREET",23
"107TH ST",3
"107th Ave",1299
"107th St",996
"108 ST",968
"108 ST 15 FT",1
"108 STREET",302
"108TH ST",16
"108TH STREET",13
"108th St",7176
"109 AVE",117
"109 AVENUE",12
"109 RD",16
"109 ST",115
"109TH ST",4
"109th Ave",744
"109th Rd",135
"109th St",1079
"10FT S OF W 33 ST",1
"10FT S/B 74 ST",1
"10FT S/O E 78 ST",1
"10TH  AV",1
"10TH AVE",1060
"10TH AVE.(N/B)@WEST",198
"10TH AVENUE",196
"10TH ST",94
"10th Ave",19864
"10th St",4151
"11 AV",28
"11 AVE",546
"11 AVE BET W 29 ST",1
"11 AVENUE",41
"11 ST",199
"110 RD",9
"110 ST",187
"110 STR",2
"110TH",1
"110th Ave",472
"110th Rd",142
"110th St",1869
"111 AVE",162
"111 RD",15
"111 ST",366
"111 ST + 55 AVE",6
"111 STREET",55
"111ST",18
"111TH AVE",5
"111TH ST",7
"111st St",335
"111th Ave",662
"111th St",1023
"112 AVE",62
"112 DR",1
"112 ST",172
"112 STREET",27
"112th Ave",249
"112th Pl",64
"112th St",2025
"113 AVE",73
"113 RD",13
"113 ST",188
"113th Ave",194
"113th St",1566
"114 2ND ST AND",1
"114 AVE",30
"114 DR",8
"114 RD",33
"114 ST",143
"114 STREET",21
"114th Ave",77
"114th St",1521
"115 AVE",129
"115 ST",97
"115TH ST",3
"115th Ave",373
"115th St",1555
"116 AVE",166
"116 DRIVE",7
"116 RD",34
"116 ST",214
"116 STREET",31
"116TH AVE",8
"116TH ST",9
"116th Ave",349
"116th Dr",31
"116th Rd",96
"116th St",2070
"117 ST",131
"117 STREET",23
"117th St",1576
"118 AVE",52
"118 RD",23
"118 ROAD",4
"118 ST",179
"118 STREET",44
"118TH ST",3
"118th St",2148
"119 AVE",73
"119 AVENUE",4
"119 RD",32
"119 ST",17
"119th Ave",214
"119th Rd",102
"119th St",109
"11TH AVE",521
"11TH AVE AND",1
"11TH AVENUE",49
"11TH ST",74
"11TH STREET",28
"11th Ave",9080
"11th St",3291
"12 AVE",381
"12 ST",189
"12 STREET",21
"120 AMITY ST",1
"120 AVE",68
"120 ST",195
"120TH ST",14
"120th Ave",279
"120th St",2074
"121 AVE",40
"121 ST",158
"121st St",1949
"122 AVENUE",1
"122 PLACE",3
"122nd St",843
"123 AVE",37
"123 ST",171
"123 STREET",55
"123rd St",1490
"124 PLACE",3
"124 ST",248
"1247 ITHWP",1
"124TH ST",11
"124TH STREET",2
"124th St",1458
"125 AVE",34
"125 ST",230
"125 STREET",39
"125TH ST",13
"125TH STR",1
"125TH STREET",6
"125th St",1073
"126 ST",158
"126TH FLUSHING",1
"126th St",1247
"127 AVE",39
"127 ST",242
"127TH AVENUE",1
"127th Ave",644
"127th St",1237
"128 AVE",33
"128 ST",81
"128TH AVE",1
"128TH STREET",1
"128th Ave",114
"128th St",513
"129 AVE",38
"129 ST",140
"129 STREET",33
"129TH AVE",3
"129TH ST",12
"129th Ave",140
"129th St",862
"12ST",5
"12TH AVE",376
"12TH AVE.(N/B)@42ND",343
"12TH AVE.(N/B)@W. 57",6440
"12TH AVE.(S/B) @ 23T",682
